钻杆数,深度,角度
1,0.8,-33
2,1.8,-30
3,2.3,-28
4,3,-28
5,3.8,-27
6,4.5,-22
7,5.1,-20
8,5.5,-15
9,6,-10
10,6.3,-8
11,6.4,-3
12,6.5,0
13,6.5,0
14,6.5,0
15,6.5,0
16,6.5,0
17,6.5,0
18,6.5,0
19,6.5,0
20,6.4,2
21,6.4,1
22,6.3,2
23,6.2,2
24,6.1,2
25,6,0
26,6,0
27,6,0
28,6,0
29,6,0
30,6,0
31,5.9,1
32,6,-1
33,6,-1
34,6.1,-2
35,6.2,-2
36,6.2,0
37,6.2,0
38,6.4,-4
39,6.6,0
40,6.6,0
41,6.6,0
42,6.6,0
43,6.6,0
44,6.6,0
45,6.5,1
46,6.4,2
47,6.2,3
48,6.1,2
49,6,2
50,6,0
51,5.9,2
52,5.7,4
53,5.5,5
54,5.2,6
55,4.9,8
56,4.4,12
57,3.9,19
58,3.2,19
59,2.8,22
